ID|Komunikat|Kod_Źródło|Kod_Wynik|Miasto_Źródło|Miasto_Wynik|Ulica_Źródło|Ulica_Wynik|Budynek_Źródło|Budynek_Wynik|Lokal_Źródło|Lokal_Wynik|Wojewodztwo_Źródło|Wojewodztwo_Wynik|Powiat_Źródło|Powiat_Wynik|Gmina_Źródło|Gmina_Wynik
1994637|Błędna nazwa ulicy '11-Listopada'/'11-listopada'|34-130|34-130|Kalwaria Zebrzydowska|Kalwaria Zebrzydowska|*|11-Listopada|16|16|2|2|*|MAŁOPOLSKIE|*|wadowicki|*|Kalwaria Zebrzydowska
1873671|Błędna nazwa ulicy '17-Go Stycznia'/'17-go stycznia'|38-200|38-200|Jasło|Jasło|*|17-Go Stycznia|46|46|||*|PODKARPACKIE|*|jasielski|*|Jasło
1971714|Błędna nazwa ulicy '3-Go Maja'/'3-go maja'|39-220|39-220|Pilzno|Pilzno|*|3-Go Maja|6|6|||*|PODKARPACKIE|*|dębicki|*|Pilzno
1902965|Błędna nazwa ulicy 'Al.Beliny Prażmowskiego'/'beliny prazmowskiego'|31-514|31-514|Kraków|Kraków|*|Al.Beliny Prażmowskiego|41|41|2|2|*|MAŁOPOLSKIE|*|Kraków|*|Kraków
1623540|Błędna nazwa ulicy 'Al.Powstańców Wlkp'/'powstancow wlkp'|64-920|64-920|Piła|Piła|*|Al.Powstańców Wlkp|14|14|1|1|*|WIELKOPOLSKIE|*|pilski|*|Piła
1949979|Błędna nazwa ulicy 'Aleja 700 Lecia Torunia'/'700 lecia torunia'|87-100|87-100|Toruń|Toruń|*|Aleja 700 Lecia Torunia|16|16|23|23|*|KUJAWSKO-POMORSKIE|*|Toruń|*|Toruń
1948503|Błędna nazwa ulicy 'Aleksander Fleminga'/'aleksander fleminga'|03-176|03-176|Warszawa|Warszawa|*|Aleksander Fleminga|43|43|25|25|*|MAZOWIECKIE|*|Warszawa|*|Warszawa
1721979|Błędna nazwa ulicy 'B. Hertza'/'b. hertza'|04-603|04-603|Warszawa|Warszawa|*|B. Hertza|6|6|1|1|*|MAZOWIECKIE|*|Warszawa|*|Warszawa
1902434|Błędna nazwa ulicy 'B. Ratajczaka'/'b. ratajczaka'|21-040|21-040|Świdnik|Świdnik|*|B. Ratajczaka|15|15|11|11|*|LUBELSKIE|*|świdnicki|*|Świdnik
1281936|Błędna nazwa ulicy 'Beliny Prażmowskiego'/'beliny prazmowskiego'|30-399|30-399|Kraków|Kraków|*|Beliny Prażmowskiego|67|67|9|9|*|MAŁOPOLSKIE|*|Kraków|*|Kraków
1918046|Błędna nazwa ulicy 'Bł.Ks. Stanisława Kubisty'/'bł.ks. stanisława kubisty'|40-749|40-749|Katowice|Katowice|*|Bł.Ks. Stanisława Kubisty|2F|2F|||*|ŚLĄSKIE|*|Katowice|*|Katowice
17432|Błędna nazwa ulicy 'Bolesawa Prusa'/'bolesawa prusa'|30-117|30-117|Kraków|Kraków|*|Bolesawa Prusa|35|35|2|2|*|MAŁOPOLSKIE|*|Kraków|*|Kraków
1982460|Błędna nazwa ulicy 'Bp.Filipa Padniewskiego'/'bp.filipa padniewskiego'|31-982|31-982|Kraków|Kraków|*|Bp.Filipa Padniewskiego|22|22|197|197|*|MAŁOPOLSKIE|*|Kraków|*|Kraków
1969183|Błędna nazwa ulicy 'Charlesa De Gaulle A'/'charlesa de gaulle a'|41-800|41-800|Zabrze|Zabrze|*|Charlesa De Gaulle A|93|93|9|9|*|ŚLĄSKIE|*|Zabrze|*|Zabrze
1924654|Błędna nazwa ulicy 'Czwartków'/'czwartkow'|30-395|30-395|Kraków|Kraków|*|Czwartków|17A|17A|||*|MAŁOPOLSKIE|*|Kraków|*|Kraków
1802918|Błędna nazwa ulicy 'Dobrego Pastarza'/'dobrego pastarza'|31-416|31-416|Kraków|Kraków|*|Dobrego Pastarza|99C|99C|25|25|*|MAŁOPOLSKIE|*|Kraków|*|Kraków
1936471|Błędna nazwa ulicy 'Doktora Dworzaczka'/'doktora dworzaczka'|95-010|95-010|Dobra|Dobra|*|Doktora Dworzaczka|49|49|||*|ŁÓDZKIE|*|zgierski|*|Stryków
1916960|Błędna nazwa ulicy 'Gen.T. Piskora'/'gen.t. piskora'|23-400|23-400|Biłgoraj|Biłgoraj|*|Gen.T. Piskora|8|8|||*|LUBELSKIE|*|biłgorajski|*|Biłgoraj
1880628|Błędna nazwa ulicy 'Gen.Waleriana Czumy'/'gen.waleriana czumy'|01-355|01-355|Warszawa|Warszawa|*|Gen.Waleriana Czumy|4|4|97|97|*|MAZOWIECKIE|*|Warszawa|*|Warszawa
1624271|Błędna nazwa ulicy 'Gołaśki'/'gołaski'|30-619|30-619|Kraków|Kraków|*|Gołaśki|15|15|43|43|*|MAŁOPOLSKIE|*|Kraków|*|Kraków
1850245|Błędna nazwa ulicy 'Gospodar5ska'/'gospodar5ska'|31-265|31-265|Kraków|Kraków|*|Gospodar5ska|7A|7A|||*|MAŁOPOLSKIE|*|Kraków|*|Kraków
