Komunikat|ID|Kod|Miejscowość|Ulica|Nr domu|Nr mieszkania|Województwo|Powiat|Gmina
Błędna nazwa ulicy '--------------------'/'--------------------'|A1393889|37-416|ZBYDNIÓW|--------------------|149|-------|||
Błędna nazwa ulicy '-'/'-'|A2830|30-698|GOLKOWICE|-|299||MAŁOPOLSKIE|WIELICKI|WIELICZKA
Błędna nazwa ulicy '-'/'-'|A1392816|27-552|BAĆKOWICE|-|132|-|||
Błędna nazwa ulicy '-'/'-'|A1392833|32-853|ŁYSA GÓRA|-|115|-|||
Błędna nazwa ulicy '-'/'-'|S2830|30-698|GOLKOWICE|-|299||MAŁOPOLSKIE|WIELICKI|WIELICZKA
Błędna nazwa ulicy '-'/'-'|A1952673|34-205|STRYSZAWA|-|553||||
Błędna nazwa ulicy '-'/'-'|A1952675|34-205|STRYSZAWA|-|553||||
Błędna nazwa ulicy '-'/'-'|A1954426|39-204|GÓRA MOTYCZNA|-|94a||||
Błędna nazwa ulicy '?w.Barbary'/'?w. barbary'|A1397471|32-020|WIELICZKA|?w.Barbary|23||||
Błędna nazwa ulicy '. Curie-Skłodowskiej'/'. curie-sklodowskiej'|A1370421|39-300|MIELEC|. Curie-Skłodowskiej|38145||||
Błędna nazwa ulicy '.Rynek Podgórski'/'. rynek podgorski'|A1442292|30-518|KRAKÓW|.Rynek Podgórski|7|24|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '['/'['|A1939688|31-421|Kraków|[|42d|39|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '*Plac Św.Ducha'/'*plac sw. ducha'|A1231685||KRAKÓW|*Plac Św.Ducha|1||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '/ Walerego Sławka'/'/ walerego slawka'|A1916102|30-633|Kraków|/ Walerego Sławka|27|27|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '/Lipnica Mala'/'/lipnica mala'|A1853704|34-482|Lipnica Mała|/Lipnica Mala|4a||||
Błędna nazwa ulicy '/proszówki'/'/proszowki'|A1894451|32-700|Proszówki|/proszówki|162||||
Błędna nazwa ulicy '/Zaborze/Witaminka'/'/zaborze/witaminka'|A1438924|32-600|ZABORZE|/Zaborze/Witaminka|3||||
Błędna nazwa ulicy '\\. Albertyńskie'/'\\. albertynskie'|A1467021|31-853|KRAKÓ|\\. Albertyńskie|19|8|||
Błędna nazwa ulicy '\l.B.Chrobrego'/'\l. b. chrobrego'|A1263325|40-881|KATOWICE|\l.B.Chrobrego|13|103|ŚLĄSKIE|KATOWICE|KATOWICE
Błędna nazwa ulicy '\l.Harnasiów'/'\l. harnasiow'|A1391075|31-479|KRAKÓW|\l.Harnasiów|6||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '+l. Sikorek'/'+l. sikorek'|A1412126|43-300|BIELSKO-BIAŁA|+l. Sikorek|12||||
Błędna nazwa ulicy '004Dywizjonu 303'/'004dywizjonu'|A1441977|31-875|KRAKÓW|004Dywizjonu 303|43|9|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Błędna nazwa ulicy '05 Tarnowska'/'05 tarnowska'|A1392719|35-502|RZESZÓW|05 Tarnowska|8a||||
Błędna nazwa ulicy '0l. Bajana'/'0l. bajana'|A1390908|39-300|MIELEC|0l. Bajana|2|7|||
Błędna nazwa ulicy '1 - go Maja'/'1 - go maja'|A1687488|32-332|Bukowno|1 - go Maja|80||||
Błędna nazwa ulicy '1 Armii Wojska Polsk'/'1 armii wojska polsk'|A1638762|22-100|Chełm|1 Armii Wojska Polsk|23|6|||
Błędna nazwa ulicy '1 Armii Wojska Polskiego'/'1 armii wojska polskiego'|A1410599|15-105|BIAŁYSTOK|1 Armii Wojska Polskiego|9||||
Błędna nazwa ulicy '1 Armii Wojska Polskiego'/'1 armii wojska polskiego'|A1686893|23-420|Tarnogród|1 Armii Wojska Polskiego|22||||
Błędna nazwa ulicy '1 dong'/'1 dong'|A1980149||CHENG|1 dong|5ceng||||
Błędna nazwa ulicy '1 go Maja'/'1 go maja'|A1438926|58-500|JELENIA GÓRA|1 go Maja|35|1a|||
Błędna nazwa ulicy '1 Praskiego WP'/'1 praskiego wp'|A1957305|05-075|WARSZAWA|1 Praskiego WP 17|||||
