ID|Kraj|Kod|Miasto|Ulica|NrDomu|NrLokalu|Wojewodztwo|Powiat|Gmina
A11703698|PL|37-125[37-126]|Zalesie[MEDYNIA GŁOGOWSKA]|[Zalesie]|262 a||PODKARPACKIE[]|łańcucki[]|Czarna[]
A1177102|PL|32-050|Skawina|ul.[Os.Słoneczna]|1d|7|MAŁOPOLSKIE|krakowski[KRAKÓW]|Skawina[KRAKÓW]
A1188853|PL|30-150|Kraków|ul.[Al.Armii Krajowej]|93|150|MAŁOPOLSKIE|Kraków|Kraków
A1189468|PL|37-705[37-731]|Siedliska|[Siedliska]|114||PODKARPACKIE[ŁÓDZKIE]|przemyski[WIELUŃSKI]|Medyka[WIERZCHLAS]
A1189579|PL|27-225[27-216]|Szerzawy|[SZERZAWY]|96||ŚWIĘTOKRZYSKIE|starachowicki|Pawłów
A1191241|PL|32-020[32-041]|Bodzanów[BODZANOW]|[Bodzanow]|219||MAŁOPOLSKIE[ŁÓDZKIE]|wielicki[WIELUŃSKI]|Biskupice[WIERZCHLAS]
A1204754|PL|29-100[29-107]|Rogienice|[Rogienice]|67||ŚWIĘTOKRZYSKIE[MAŁOPOLSKIE]|włoszczowski[KRAKÓW]|Włoszczowa[KRAKÓW]
A1205893|PL|32-104[32-103]|Czernichów[Czernichow]||36||MAŁOPOLSKIE|proszowicki[KRAKÓW]|Koniusza[KRAKÓW]
A1206846|PL|37-705[37-731]|Siedliska||115||PODKARPACKIE[MAŁOPOLSKIE]|przemyski[KRAKÓW]|Medyka[KRAKÓW]
A1207545|PL|!31-623[31-625]|Kraków|os.[ul.Piastów]|45|14|MAŁOPOLSKIE|Kraków|Kraków
A1231201|PL|34-432|Łopuszna|ul.[os.Cyrla]|2||MAŁOPOLSKIE[]|nowotarski[]|Nowy Targ[]
A1232194|PL|25-150[25-113]|Kielce|ul.[oś.Barwinek]|11|21|ŚWIĘTOKRZYSKIE[]|Kielce[]|Kielce[]
A1233504|PL|31-861[02-087]|Kraków|os.[al.Niepodległości]|219||MAŁOPOLSKIE|Kraków|Kraków
A1237525|PL|32-410[32-411]|Niezdów||14||MAŁOPOLSKIE[]|myślenicki[]|Dobczyce[]
A1238648|PL|32-410[32-422]|Stadniki||123||MAŁOPOLSKIE[]|myślenicki[]|Dobczyce[]
A1252445|PL|41-400|Mysłowice|ul.[al.Mikołowska]|4a||ŚLĄSKIE[]|Mysłowice[]|Mysłowice[]
A1256832|PL|28-100|Mikułowice[BUSKO ZDRÓJ]|[Mikułowice]|9||ŚWIĘTOKRZYSKIE[]|buski[]|Busko-Zdrój[]
A1257274|PL|25-150[25-151]|Kielce|ul.[os.Barwinek]|23|22|ŚWIĘTOKRZYSKIE[]|Kielce[]|Kielce[]
A1262010|PL|25-150[25-113]|Kielce|ul.[oś.Barwinek]|25|5|ŚWIĘTOKRZYSKIE[]|Kielce[]|Kielce[]
A1262739|PL|80-337|Gdańsk|al.[uL.Grunwaldzka]|595|5|POMORSKIE|Gdańsk|Gdańsk
A1262847|PL|34-730[34-732]|Olszówka|[Olszówka]|14||MAŁOPOLSKIE|limanowski|Mszana Dolna[LIMANOWA]
A1263880|PL|25-150[25-113]|Kielce|ul.[os.Barwinek]|25|5|ŚWIĘTOKRZYSKIE[]|Kielce[]|Kielce[]
A1275196|PL|38-500|Sanok|ul.[Al.Armii Krajowej]|13|14|PODKARPACKIE|sanocki|Sanok
A1276901|PL|40-709[40-950]|Katowice|ul.[Pl.Grunwaldzka]|8|10|ŚLĄSKIE|Katowice[]|Katowice[]
A1279702|PL|32-566[32-556]|Regulice||88||MAŁOPOLSKIE[]|chrzanowski[]|Alwernia[]
A1279766|PL|32-566[32-556]|Regulice||414||MAŁOPOLSKIE[]|chrzanowski[]|Alwernia[]
A1281246|PL|28-236[28-238]|Kłoda||8||ŚWIĘTOKRZYSKIE[]|staszowski[]|Rytwiany[]
A1281379|PL|26-006[26-007]|Włochy||23||ŚWIĘTOKRZYSKIE[]|kielecki[]|Nowa Słupia[]
A1293134|PL|32-415[32-413]|Zegartowice||11||MAŁOPOLSKIE[]|myślenicki[]|Raciechowice[]
A1296821|PL|32-005[32-004]|Zagórze||118||MAŁOPOLSKIE|wielicki|Niepołomice[WIELICZKA]
A1299447|PL|32-566[32-556]|Grojec[GRÓJEC]||130||MAŁOPOLSKIE[]|chrzanowski[]|Alwernia[]
A1299449|PL|32-566[32-556]|Regulice||403||MAŁOPOLSKIE[]|chrzanowski[]|Alwernia[]
A1299455|PL|32-566[32-556]|Regulice||375||MAŁOPOLSKIE[]|chrzanowski[]|Alwernia[]
A1299457|PL|32-566[32-556]|Regulice||192||MAŁOPOLSKIE[]|chrzanowski[]|Alwernia[]
A1299476|PL|32-566[32-556]|Regulice||144||MAŁOPOLSKIE[]|chrzanowski[]|Alwernia[]
A1305060|PL|32-415[32-413]|Zegartowice||104||MAŁOPOLSKIE[]|myślenicki[]|Raciechowice[]
A1305061|PL|32-566[32-556]|Regulice||417||MAŁOPOLSKIE[]|chrzanowski[]|Alwernia[]
A1307069|PL|32-566[32-556]|Regulice||209||MAŁOPOLSKIE[]|chrzanowski[]|Alwernia[]
A1319085|PL|32-100[32-123]|Przezwody||13||MAŁOPOLSKIE|proszowicki|Proszowice
A1319985|PL|32-090[32-094]|Zaborze||23||MAŁOPOLSKIE[]|krakowski[]|Słomniki[]
A1324045|PL|38-211[38-200]|Jabłonica||88||PODKARPACKIE[]|jasielski[]|Skołyszyn[]
A1329095|PL|32-566[32-556]|Podłęże||10||MAŁOPOLSKIE[]|chrzanowski[]|Alwernia[]
A1329524|PL|32-566[32-556]|Regulice||214||MAŁOPOLSKIE[]|chrzanowski[]|Alwernia[]
A1332469|PL|32-566[32-556]|Regulice||451||MAŁOPOLSKIE[]|chrzanowski[]|Alwernia[]
A1333027|PL|30-334|Kraków|ul.[Os.Komandosów]|27|14|MAŁOPOLSKIE|Kraków[]|Kraków[]
A1333339|PL|34-440|Kluszkowce[KLUSZKOWICE]|ul.[os.Stylchyn]|1||MAŁOPOLSKIE[]|nowotarski[]|Czorsztyn[]
A1338140|PL|32-020[32-041]|Bodzanów||221||MAŁOPOLSKIE[]|wielicki[]|Biskupice[]
A1341113|PL|21-050|Wierzchowiska[PIASKI]|[Wierzchowiska]|100A||LUBELSKIE[]|świdnicki[]|Piaski[]
A1343532|PL|25-150[25-113]|Kielce|ul.[Os.Barwinek]|28||ŚWIĘTOKRZYSKIE[]|Kielce[]|Kielce[]
A1344555|PL|32-089[32-085]|Wielka Wieś||62||MAŁOPOLSKIE|krakowski|Wielka Wieś
A1349195|PL|27-220|Mirzec-Poddąbrowa[Mirzec]|[Mirzec-Poddąbrowa]|58||ŚWIĘTOKRZYSKIE|starachowicki[]|Mirzec[]
A1350105|PL|31-911|Kraków|os.[Ul.Na Skarpie]|39|1|MAŁOPOLSKIE|Kraków|Kraków
A1350114|PL|34-240|Jordanów|os.[Ul.Wrzosy]|2|19|MAŁOPOLSKIE[]|suski[]|Jordanów[]
A1351387|PL|25-150[25-113]|Kielce|ul.[Os.Barwinek]|23|14|ŚWIĘTOKRZYSKIE|Kielce[]|Kielce[]
A1351440|PL|25-150|Kielce|ul.[Oś. Barwinek]|8|39|ŚWIĘTOKRZYSKIE|Kielce[]|Kielce[]
A1351617|PL|32-415[32-413]|Krzesławice||10||MAŁOPOLSKIE|myślenicki[]|Raciechowice[]
A1352145|PL|32-020[32-021]|Janowice|[JANOWICE]|212||MAŁOPOLSKIE|wielicki[]|Wieliczka[]
A1354060|PL|25-150|Kielce|ul.[Oś. Barwinek]|9||ŚWIĘTOKRZYSKIE|Kielce[]|Kielce[]
A1357920|PL|32-415[32-413]|Zegartowice||147||MAŁOPOLSKIE[]|myślenicki[]|Raciechowice[]
A1361311|PL|21-500|Biała Podlaska|ul.[al.Pokoju]|39||LUBELSKIE[]|Biała Podlaska[]|Biała Podlaska[]
A1363557|PL|36-007[36-073]|Krasne||3b||PODKARPACKIE|rzeszowski|Krasne
A1367327|PL|27-320[27-330]|Glina|[GLINA]|44||MAZOWIECKIE[]|lipski[]|Solec nad Wisłą[]
A1367596|PL|27-320[27-330]|Glina|[GLINA]|44||MAZOWIECKIE[]|lipski[]|Solec nad Wisłą[]
A1367718|PL|21-500[21-536]|Woroniec|[WORONIEC]|7|16|LUBELSKIE[]|bialski[]|Biała Podlaska[]
A1372132|PL|22-400[22-411]|Wysokie|[Wysokie]|107||LUBELSKIE[]|zamojski[]|Zamość[]
A1373607|PL|34-400|Nowy Targ|[ul.Rynek]|9||MAŁOPOLSKIE[]|nowotarski[]|Nowy Targ[]
A1375663|PL|32-020[32-021]|Janowice|[JANOWICE]|118||MAŁOPOLSKIE[]|wielicki[]|Wieliczka[]
A1376389|PL|31-401[]|Kraków|al.[ul.29-go Listopada]|32|6|MAŁOPOLSKIE|Kraków|Kraków
A1380731|PL|50-541|Wrocław|al.[ul.Armii Krajowej]|6b|8|DOLNOŚLĄSKIE[]|Wrocław[]|Wrocław[]
A1384504|PL|33-350|Piwniczna-Zdrój[PIWNICZNA ZDRÓJ]|[ul.Borownice]|5||MAŁOPOLSKIE[]|nowosądecki[]|Piwniczna-Zdrój[]
A1387835|PL|05-311[05-305]|Poręby||10||MAZOWIECKIE[]|miński[]|Dębe Wielkie[]
A1388369|PL|70-553|Szczecin|ul.[Al.Wyzwolenia]|8|15|ZACHODNIOPOMORSKIE|Szczecin|Szczecin
A1389367|PL|61-772|Poznań|[ul.Stary Rynek]|57|10|WIELKOPOLSKIE[]|Poznań[]|Poznań[]
A1390738|PL|39-215|Golemki[CZARNA]|[Golemki]|2A||PODKARPACKIE[]|dębicki[]|Czarna[]
A1393602|PL|27-320[27-330]|Glina|[GLINA]|31||MAZOWIECKIE[]|lipski[]|Solec nad Wisłą[]
A1393911|PL|38-400|Krosno|[Ul.Rynek]|14||PODKARPACKIE[]|Krosno[]|Krosno[]
A1393955|PL|26-230|Radoszyce|[Ul.Rynek]|40||ŚWIĘTOKRZYSKIE[]|konecki[]|Radoszyce[]
A1397416|PL|32-410[32-411]|Sieraków||39||MAŁOPOLSKIE[]|myślenicki[]|Dobczyce[]
A1397533|PL|30-238[30-227]|Kraków|al.[Ul.Kasztanowa]|23|1a|MAŁOPOLSKIE|Kraków|Kraków
A1400016|PL|81-840|Sopot|al.[ul.Niepodległości]|741b||POMORSKIE[]|Sopot[]|Sopot[]
A1400165|PL|59-700|Bolesławiec|[ul.Rynek]|41||DOLNOŚLĄSKIE[]|bolesławiecki[]|Bolesławiec[]
A1402140|PL|02-256[]|Warszawa|al.[ul.Krakowska]|102||MAZOWIECKIE[]|Warszawa[]|Warszawa[]
A1402278|PL|32-086[32-087]|Węgrzce||400||MAŁOPOLSKIE[]|krakowski[]|Zielonki[]
