Komunikat|ID|Kraj|Kod|Miejscowość|Ulica|Nr domu|Nr mieszkania|Województwo|Powiat|Gmina
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Czackiego,Wszystkie kody mają przypisaną ulicę|A01286562|PL|00-043|WARSZAWA|ul.Czackiego 3/5|||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Singera,Wszystkie kody mają przypisaną ulicę|A01396300|PL|02-790|WARSZAWA|Sengera|24|2a|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Czackiego,Wszystkie kody mają przypisaną ulicę|A01429280|PL|00-043|WARSZAWA|Czackiego|3/5|416|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Biskupia,Wszystkie kody mają przypisaną ulicę|A10487|PL|31-144|KRAKOW|Biskupia|10|14|ŁÓDZKIE|WIELUŃSKI|WIERZCHLAS
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Czackiego,Wszystkie kody mają przypisaną ulicę|A10713|PL|00-043|WARSZAWA|Czackiego|3|5 l.416|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Czackiego,Wszystkie kody mają przypisaną ulicę|A10994|PL|00-043|WARSZAWA|Czackiego|3|5|ŁÓDZKIE|WIELUŃSKI|WIERZCHLAS
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Czackiego,Wszystkie kody mają przypisaną ulicę|A110713|PL|00-043|WARSZAWA|Czackiego|3|5|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Kaczmarskiego,Wszystkie kody mają przypisaną ulicę|A114706|PL|02-679|WARSZAWA|Jacka Kaczmarskiego|27||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Biskupia,Wszystkie kody mają przypisaną ulicę|A11480775|PL|31-144|KRAKÓW|Biskupia|1||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Czackiego,Wszystkie kody mają przypisaną ulicę|A11631686|PL|00-043|WARSZAWA|Czackiego|3|5|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Zabrze,Ulica: Agricoli,Wszystkie kody mają przypisaną ulicę|A11702822|PL|41-800|ZABRZE|Georgiusa Agricoli|2||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Józefów,Ulica: Ziarnista,Wszystkie kody mają przypisaną ulicę|A11729768|PL|05-410|JÓZEFÓW|Ziarnista|22||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Chrzanów (ID=195254),Ulica: Kadłubek (ID=618397),Numer budynku: 22A,Liczba znalezionych kodów: 0|A1180781|PL||CHRZANÓW|KADŁUBKA|22A|7|MAŁOPOLSKIE|CHRZANOWSKI|CHRZANÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Tarnów,Ulica: Wody,Wszystkie kody mają przypisaną ulicę|A11848465|PL|33-100|TARNÓW|Wiesława Wody|27||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Oraczy,Wszystkie kody mają przypisaną ulicę|A1185963|PL|30-418|KRAKÓW|ORACZY|5|5|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Chrzanów (ID=195254),Ulica: Owocowa (ID=622209),Numer budynku: 8,Liczba znalezionych kodów: 0|A1190891|PL|32-500|CHRZANÓW|Okopowa|8||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Piaseczno,Ulica: Kineskopowa,Wszystkie kody mają przypisaną ulicę|A11952204|PL|05-500|PIASECZNO|Kineskopowa|1||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Bestwina (ID=230629),Ulica: Ludowa (ID=708968),Numer budynku: 5,Liczba znalezionych kodów: 0|A1196570|PL|43-512|BESTWINA|Łanowa|5||ŚLĄSKIE|BIELSKI|CZECHOWICE-DZIEDZICE
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Czackiego,Wszystkie kody mają przypisaną ulicę|A1202275|PL|00-043|WARSZAWA|ul -Czackiego|3|5|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Rudki,Ulica: Pocztowa,Miejscowość nie ma kodów pocztowych|A1205032|PL|26-007|RUDKI|Pocztowa|13|9|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Poraj,Ulica: Ogrodowa,Miejscowość nie ma kodów pocztowych|A1209395|PL|42-297|PORAJ|Ogrodowa|10||ŚLĄSKIE|MYSZKOWSKI|MYSZKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Czackiego,Wszystkie kody mają przypisaną ulicę|A1213241|PL|00-043|WARSZAWA|ul. Tadeusza Czackiego|3/5||MAZOWIECKIE||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Czackiego,Wszystkie kody mają przypisaną ulicę|A1219837|PL|00-043|WARSZAWA|Czackiego|3|5|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Słowiański,Wszystkie kody mają przypisaną ulicę|A1223900|PL|31-141|KRAKÓW|pl.Słowiański|3||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Ofiar Katynia,Wszystkie kody mają przypisaną ulicę|A1230574|PL|37-700|KRAKÓW|Ofiar Katynia|17||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Szaniawskiego,Wszystkie kody mają przypisaną ulicę|A1239533|PL|30-405|KRAKÓW|Szaniawskiego|3||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Elektryczna,Wszystkie kody mają przypisaną ulicę|A1242210|PL|00-346|WARSZAWA|Elektryczna|2a||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Biskupia,Wszystkie kody mają przypisaną ulicę|A1247525|PL|31-055|KRAKÓW|BISKUPIA|14|4|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Głogów,Ulica: Powstańców,Wszystkie kody mają przypisaną ulicę|A1248045|PL|67-200|GŁOGÓW|Powstańców|13|2|DOLNOŚLĄSKIE|GŁOGOWSKI|GŁOGÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Chrzanów (ID=195254),Ulica: Kadłubek (ID=618397),Numer budynku: 22,Liczba znalezionych kodów: 0|A1248224|PL|32-500|CHRZANÓW|KADŁUBKA|22|A 49|MAŁOPOLSKIE|CHRZANOWSKI|CHRZANÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Poraj,Ulica: Mickiewicza,Miejscowość nie ma kodów pocztowych|A1252046|PL|42-297|PORAJ|MICKIEWICZA|48||ŚLĄSKIE|MYSZKOWSKI|MYSZKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Żywiec (ID=230514),Ulica: Boczna (ID=740127),Numer budynku: 9a,Liczba znalezionych kodów: 0|A1252419|PL|34-330|ŻYWIEC|Buczka|9a||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Limanowa (ID=195204),Ulica: Kamienna (ID=650351),Numer budynku: 452,Liczba znalezionych kodów: 0|A1252655|PL|33-618|LIMANOWA|KAMIENICA|452||MAŁOPOLSKIE|LIMANOWSKI|LIMANOWA
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Czackiego,Wszystkie kody mają przypisaną ulicę|A1254951|PL|00-950|WARSZAWA|Czackiego|3|5|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Sosnowiec,Ulica: Dietla,Wszystkie kody mają przypisaną ulicę|A1261389|PL|41-200|SOSNOWIEC|Dietla|15A||ŚLĄSKIE|SOSNOWIEC|SOSNOWIEC
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Jedlicze (ID=211370),Ulica: Konarskiego (ID=762065),Numer budynku: 46,Liczba znalezionych kodów: 0|A1262853|PL|38-460|JEDLICZE|Tokarskiego|46||PODKARPACKIE|KROSNO|KROSNO
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Głogów,Ulica: Powstańców,Wszystkie kody mają przypisaną ulicę|A1266190|PL|67-200|GŁOGÓW|Powstańców|13|2|DOLNOŚLĄSKIE|GŁOGOWSKI|GŁOGÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Żory,Ulica: Władysława,Wszystkie kody mają przypisaną ulicę|A1267365|PL|44-240|ŻORY|Os.Księcia Władysława|56|11|ŚLĄSKIE|ŻORY|ŻORY
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: IV Poprzeczna,Wszystkie kody mają przypisaną ulicę|A1269487|PL|04-611|WARSZAWA|IV Poprzeczna|3a||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kielce,Ulica: Żołnierzy Misji Pokojowych Organizacji Narodów Zjednoczonych,Wszystkie kody mają przypisaną ulicę|A1270090|PL|25-548|KIELCE|Okrana|44|5|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Piekary Śląskie,Ulica: Głęboka,Wszystkie kody mają przypisaną ulicę|A1272300|PL|41-940|PIEKARY ŚLĄSKIE|Głęboka|14||ŚLĄSKIE|PIEKARY ŚLĄSKIE|PIEKARY ŚLĄSKIE
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Łódź,Ulica: Dąbrowskiego,Wszystkie kody mają przypisaną ulicę|A1277825|PL|90-249|ŁÓDŹ|Pl.Dąbrowskigo|3|6|ŁÓDZKIE|ŁÓDŹ|ŁÓDŹ
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Ogrodniki,Wszystkie kody mają przypisaną ulicę|A1278102|PL|30-421|KRAKÓW|Ogrodniki|5|1|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Konstancin-Jeziorna,Ulica: Pułaskiego,Wszystkie kody mają przypisaną ulicę|A1280073|PL|05-510|KONSTANCIN JEZIORNA|Pułaskiego|2||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Szaniawskiego,Wszystkie kody mają przypisaną ulicę|A1280423|PL|30-405|KRAKÓW|Szaniawskiego|18|1|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kielce,Ulica: Zakładowa,Wszystkie kody mają przypisaną ulicę|A1280549|PL|25-672|KIELCE|Zakładowa|1||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Wrocław,Ulica: Mikołaja,Wszystkie kody mają przypisaną ulicę|A1280796|PL|50-128|WROCŁAW|Św. Mikołaja|32/33|8|DOLNOŚLĄSKIE|WROCŁAW|WROCŁAW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Poznań,Ulica: Chrobrego,Wszystkie kody mają przypisaną ulicę|A1283306|PL|60-681|POZNAŃ|Os.Bol.Chrobrego|20|51|WIELKOPOLSKIE|POZNAŃ|POZNAŃ
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Katowice,Ulica: Roździeńskiego,Wszystkie kody mają przypisaną ulicę|A1285348|PL|40-203|KATOWICE|Rożdziańskiego|188b||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Czackiego,Wszystkie kody mają przypisaną ulicę|A1286562|PL|00-043|WARSZAWA|Czackiego|3|5|||
