ID|Komunikat|Kod_Źródło|Kod_Wynik|Miasto_Źródło|Miasto_Wynik|Ulica_Źródło|Ulica_Wynik|Budynek_Źródło|Budynek_Wynik|Lokal_Źródło|Lokal_Wynik|Wojewodztwo_Źródło|Wojewodztwo_Wynik|Powiat_Źródło|Powiat_Wynik|Gmina_Źródło|Gmina_Wynik
A11781|Błędna nazwa ulicy '-'|41-914|41-914|*BYTOM 14|Bytom|*|-|||||*ŁÓDZKIE|ŚLĄSKIE|*WIELUŃSKI|Bytom|*WIERZCHLAS|Bytom
A40500|Błędna nazwa ulicy '-'|||*WESOLA|Wsola|*|-|||||*ŁÓDZKIE|MAZOWIECKIE|*WIELUŃSKI|radomski|*WIERZCHLAS|Jedlińsk
A10483|Błędna nazwa ulicy '-'|||KRAKÓW|Kraków|*|-|||||*ŁÓDZKIE|MAŁOPOLSKIE|*WIELUŃSKI|Kraków|*WIERZCHLAS|Kraków
A10513|Błędna nazwa ulicy '-'|||KATOWICE|Katowice|*|-|||||*ŁÓDZKIE|ŚLĄSKIE|*WIELUŃSKI|Katowice|*WIERZCHLAS|Katowice
A10724|Błędna nazwa ulicy '-'|26-052|26-052|*SITKOWKA|Sitkówka|*|-|||||*ŁÓDZKIE|ŚWIĘTOKRZYSKIE|*WIELUŃSKI|kielecki|*WIERZCHLAS|Nowiny
A11258|Błędna nazwa ulicy '-'|||NOWY TARG|Nowy Targ|*|-|||||*ŁÓDZKIE|MAŁOPOLSKIE|*WIELUŃSKI|nowotarski|*WIERZCHLAS|Nowy Targ
A11543|Błędna nazwa ulicy '-'|32-541|32-541|TRZEBINIA|Trzebinia|*|-|||||*ŁÓDZKIE|ŚLĄSKIE|*WIELUŃSKI|żywiecki|*WIERZCHLAS|Świnna
A10950|Błędna nazwa ulicy '-'|05-400|05-400|*OTWOCK-ŚWIERK|Otwock|*|-|||||*ŁÓDZKIE|MAZOWIECKIE|*WIELUŃSKI|otwocki|*WIERZCHLAS|Otwock
A14323|Błędna nazwa ulicy '-'|43-155|43-155|TYCHY|Tychy|*|-|||||*ŁÓDZKIE|ŚLĄSKIE|*WIELUŃSKI|Tychy|*WIERZCHLAS|Tychy
A1174705|Błędna nazwa ulicy '-'|||*CZUŁÓW 129|Czułów|*|-|||||*ŁÓDZKIE|MAŁOPOLSKIE|*WIELUŃSKI|krakowski|*WIERZCHLAS|Liszki
A14909|Błędna nazwa ulicy '-'|44-230|44-230|*LESZCZYNY 3|Leszczyny|*|-|||||*ŁÓDZKIE|MAŁOPOLSKIE|*WIELUŃSKI|gorlicki|*WIERZCHLAS|Uście Gorlickie
A15491|Błędna nazwa ulicy '-'|||OLESNO|Olesno|*|-|||||*ŁÓDZKIE|MAŁOPOLSKIE|*WIELUŃSKI|dąbrowski|*WIERZCHLAS|Olesno
A1187194|Błędna nazwa ulicy '-'|||*WĘGRZCE 66|Węgrzce|*|-|||||*ŁÓDZKIE|DOLNOŚLĄSKIE|*WIELUŃSKI|wołowski|*WIERZCHLAS|Wińsko
A17191|Błędna nazwa ulicy '-'|||KĘTY|Kęty|*|-|||||*ŁÓDZKIE|MAŁOPOLSKIE|*WIELUŃSKI|oświęcimski|*WIERZCHLAS|Kęty
A12397|Błędna nazwa ulicy '-'|34-300|34-300|RYTRO|Rytro|*|-|||||*ŁÓDZKIE|MAŁOPOLSKIE|*WIELUŃSKI|nowosądecki|*WIERZCHLAS|Rytro
A16549|Błędna nazwa ulicy '-'|||*KRAKOW|Kraków|*|-|||||*ŁÓDZKIE|MAŁOPOLSKIE|*WIELUŃSKI|Kraków|*WIERZCHLAS|Kraków
A39532|Błędna nazwa ulicy '-'|32-447|32-447|*SIEPRAW 612|Siepraw|*|-|||||*ŁÓDZKIE|MAŁOPOLSKIE|*WIELUŃSKI|myślenicki|*WIERZCHLAS|Siepraw
A10816|Błędna nazwa ulicy '-'|26-900|26-900|*SWIERŻE GÓRNE|Świerże Górne|*|-|||||*ŁÓDZKIE|MAZOWIECKIE|*WIELUŃSKI|kozienicki|*WIERZCHLAS|Kozienice
A10908|Błędna nazwa ulicy '-'|||PRZEMYŚL|Przemyśl|*|-|||||*ŁÓDZKIE|PODKARPACKIE|*WIELUŃSKI|Przemyśl|*WIERZCHLAS|Przemyśl
A1176210|Błędna nazwa ulicy '-'|||*ANGLIA|Jeglia|*|-|||||*ŁÓDZKIE|WARMIŃSKO-MAZURSKIE|*WIELUŃSKI|działdowski|*WIERZCHLAS|Rybno
A21745|Błędna nazwa ulicy '-'|||KATOWICE|Katowice|*|-|||||*ŁÓDZKIE|ŚLĄSKIE|*WIELUŃSKI|Katowice|*WIERZCHLAS|Katowice
