ID|Kraj|Kod|Miasto|Ulica|NrDomu|NrLokalu|Wojewodztwo|Powiat|Gmina
A011021|PL|31-060|Kraków|ul. św. Wawrzyńca[Wawrzyńca]|13||MAŁOPOLSKIE|Kraków|Kraków
A01199112|PL|70-453|Szczecin|al. św. papieża Jana Pawła II[aleja Papieża Jana Pawła II]|22A||ZACHODNIOPOMORSKIE[]|Szczecin[]|Szczecin[]
A01325987|PL|32-050|Skawina|ul. bł. ks. Jerzego Aleksandra Popiełuszki[Ks. J. Popiełuszki]|6||MAŁOPOLSKIE[]|krakowski[]|Skawina[]
A01645951|PL|83-032|Pszczółki|ul. bł. ks. Jerzego Aleksandra Popiełuszki[Ks. Jerzego Popiełuszki]|1||POMORSKIE[]|gdański[]|Pszczółki[]
A-10006|PL|58-400|Kamienna Góra|ul. św. papieża Jana Pawła II[Papieża Jana Pawła II]|18||DOLNOŚLĄSKIE[]|kamiennogórski[]|Kamienna Góra[]
A-10024|PL|50-515|Wrocław|ul. ks. Czesława  Klimasa[ks. Cz. Klimasa]|34||DOLNOŚLĄSKIE[]|Wrocław[]|Wrocław[]
A10072|PL|30-111|Kraków|al. marsz. Ferdinanda  Focha[ul. Focha Ferdynanda]|1||MAŁOPOLSKIE|Kraków|Kraków
A-10122|PL|95-100|Zgierz|ul. bł. ks. Jerzego Aleksandra Popiełuszki[Ks. J. Popiełuszki]|8||ŁÓDZKIE[]|zgierski[]|Zgierz[]
A-10124|PL|91-222|Łódź|ul. św. Teresy     od Dzieciątka Jezus[ul. Teresy od Dzieciątka Jezus]|105||ŁÓDZKIE|Łódź|Łódź
A-10139|PL|32-200|Miechów|ul. Stanisławy  Daneckiej[St. Daneckiej]|1||MAŁOPOLSKIE[]|miechowski[]|Miechów[]
A10318|PL|43-100|Tychy|ul. ks. bp Juliusza  Burschego[Biskupa Burschego]|3||ŚLĄSKIE[ŁÓDZKIE]|Tychy[WIELUŃSKI]|Tychy[WIERZCHLAS]
A10841|PL|91-348[90-950]|Łódź|ul. św. Teresy     od Dzieciątka Jezus[Teresy od Dzieciątka Jezus]|8||ŁÓDZKIE|Łódź[WIELUŃSKI]|Łódź[WIERZCHLAS]
A10862|PL|42-580|Wojkowice|ul. Morcinka[G.Morcinka]|38||ŚLĄSKIE[ŁÓDZKIE]|będziński[WIELUŃSKI]|Wojkowice[WIERZCHLAS]
A11250558|PL|00-201|Warszawa|ul. gen. Władysława  Andersa[gen. Wł.Andersa]|10||MAZOWIECKIE[]|Warszawa[]|Warszawa[]
A11393825|PL|30-053|Kraków|ul. kronikarza Galla  Anonima[ul.Kronikarza Galla 25]|25[]||MAŁOPOLSKIE|Kraków|Kraków
A11621228|PL|84-230|Rumia|ul. księcia Świętopełka[Świętopełka]|31a||POMORSKIE[]|wejherowski[]|Rumia[]
A11673838|PL|31-519|Kraków|ul. ks. kap. hm. Ignacego Jana Skorupki[ks.Ignacego Jana Skorupki]|19|1|MAŁOPOLSKIE|Kraków|Kraków
A1172266|PL|31-530|Kraków[KRAKOW]|ul. św. Łazarza[Łazarza]|13||MAŁOPOLSKIE[ŁÓDZKIE]|Kraków[WIELUŃSKI]|Kraków[WIERZCHLAS]
A11723086|PL|32-400|Myślenice|ul. dyr. Stanisława  Pardyaka[S.Pardyaka]|3a||MAŁOPOLSKIE[]|myślenicki[]|Myślenice[]
A11726137|PL|31-352[31-523]|Kraków|ul. ks. Stanisława  Truszkowskiego[ul. ks.S.Truszkowskiego]|58||MAŁOPOLSKIE[]|Kraków[]|Kraków[]
A11767822|PL|30-724|Kraków|ul. Seweryna  Goszczyńskiego[S.Goszczyńskiego]|8||MAŁOPOLSKIE|Kraków|Kraków
A11776904|PL|39-400|Tarnobrzeg|ul. Marii  Skłodowskiej Curie[ul. M.C.Skłodowskiej]|7||PODKARPACKIE|Tarnobrzeg|Tarnobrzeg
