Id|Kod|Miasto|Ulica|Numer domu|Numer lokalu|Wojewodztwo|Powiat|Gmina
1985498|00-201|Warszawa|Andersa|26|22|||
1994647|00-227|Warszawa|Freta|10||||
1984299|00-286|Warszawa|Brzozowa|20|4|||
1790952|00-367|Warszawa|Kopernika|8/18|42|||
1980195|00-430|Warszawa|Śniegockiej|2|41|||
1971744|00-543|Warszawa|Mokotowska|46|6|||
1850374|00-628|Warszawa|Marszałkowska|21/25|69|||
1250204|00-710|Warszawa|Pyjasa|5|12|||
1978146|00-738|Warszawa|Sielecka|3|38|||
1893006|01-049|Warszawa|Esperanto|14|43|||
1367034|01-226|Warszawa|Ludwiki|4D|1|||
1934006|01-305|Warszawa|Batalionów Chłopskich|77B|37|||
1880628|01-355|Warszawa|Gen.Waleriana Czumy|4|97|||
1900851|01-357|Warszawa|Wacława Borowego|2|34|||
1908795|01-357|Warszawa|Wacława Borowego|2|34|||
1985576|01-361|Warszawa|Drogomilska|25|132|||
1942723|01-407|Warszawa|Powstańców Śląskich|2D||||
1977051|01-459|Warszawa|Górczewska|181|208M|||
1981385|01-476|Warszawa|Lazurowa|185C|122|||
1653487|01-476|Warszawa|Gen.S.Kaliskiego|25|59|||
1640024|01-481|Warszawa|K. Siemienowicza|17||||
1886889|01-483|Warszawa|Gąsiorowskiego|26A|1|||
1872524|01-485|Warszawa|Uniejowska|9|74|||
1306456|01-494|Warszawa|Widawska|9|71|||
1340044|01-496|Warszawa|Rostworowskiego|22|10|||
1909350|01-508|Warszawa|Boguckiego|3A|14|||
1367061|01-515|Warszawa|Aleja Wojska Polskiego|27|44|||
1993919|01-593|Warszawa|Sierpecka|6|32|||
1923061|01-644|Warszawa|Rymkiewicza|17|1|||
1645087|01-650|Warszawa|Mickiewicza|74|21|||
1982476|01-689|Warszawa|Rudzka|9|57|||
1936394|01-689|Warszawa|Rudzka|28|7|||
1979163|01-703|Warszawa|Gąbińska|26|6|||
1836952|01-710|Warszawa|Włościańska|4|4|||
1977121|01-748|Warszawa|Kaliny Jędrusik|6|150|||
1972288|01-786|Warszawa|Popiełuszki|3|10|||
1707903|01-864|Warszawa|Literacka|19A|47|||
1979828|01-909|Warszawa|Sokratesa|5|44|||
1986149|01-922|Warszawa|Josepha Conrada|21|38|||
1667320|01-944|Warszawa|Balcerzaka|4|29|||
