Komunikat|ID|Kod|Miejscowość|Ulica|Nr domu|Nr mieszkania|Województwo|Powiat|Gmina
Błędna nazwa ulicy '--------------------'/'--------------------'/Szukana ulica: '--------------------',Znormalizowana: '--------------------',Ulica NIE istnieje w bazie TERYT|A1393889|37-416|ZBYDNIÓW|--------------------|149|-------|||
Błędna nazwa ulicy '-'/'-'/Szukana ulica: '-',Znormalizowana: '-',Ulica NIE istnieje w bazie TERYT|A11781|41-914|BYTOM 14|-|||ŁÓDZKIE|WIELUŃSKI|WIERZCHLAS
Błędna nazwa ulicy '-'/'-'/Szukana ulica: '-',Znormalizowana: '-',Ulica NIE istnieje w bazie TERYT|A1174705||CZUŁÓW 129|-|||ŁÓDZKIE|WIELUŃSKI|WIERZCHLAS
Błędna nazwa ulicy '-'/'-'/Szukana ulica: '-',Znormalizowana: '-',Ulica NIE istnieje w bazie TERYT|A14909|44-230|LESZCZYNY 3|-|||ŁÓDZKIE|WIELUŃSKI|WIERZCHLAS
Błędna nazwa ulicy '-'/'-'/Szukana ulica: '-',Znormalizowana: '-',Ulica NIE istnieje w bazie TERYT|A1187194||WĘGRZCE 66|-|||ŁÓDZKIE|WIELUŃSKI|WIERZCHLAS
Błędna nazwa ulicy '-'/'-'/Szukana ulica: '-',Znormalizowana: '-',Ulica NIE istnieje w bazie TERYT|A39532|32-447|SIEPRAW 612|-|||ŁÓDZKIE|WIELUŃSKI|WIERZCHLAS
Błędna nazwa ulicy '-'/'-'/Szukana ulica: '-',Znormalizowana: '-',Ulica NIE istnieje w bazie TERYT|A1177886|32-045|SUŁOSZOWA 264|-|||ŁÓDZKIE|WIELUŃSKI|WIERZCHLAS
Błędna nazwa ulicy '-'/'-'/Szukana ulica: '-',Znormalizowana: '-',Ulica NIE istnieje w bazie TERYT|A1192400|32-002|WĘGRZCE WIELKIE 138|-|||ŁÓDZKIE|WIELUŃSKI|WIERZCHLAS
Błędna nazwa ulicy '-'/'-'/Szukana ulica: '-',Znormalizowana: '-',Ulica NIE istnieje w bazie TERYT|A1181170||RUDAWA 253|-|||ŁÓDZKIE|WIELUŃSKI|WIERZCHLAS
Błędna nazwa ulicy '-'/'-'/Szukana ulica: '-',Znormalizowana: '-',Ulica NIE istnieje w bazie TERYT|A1185172|43-385|JASIENICA 357|-|||ŁÓDZKIE|WIELUŃSKI|WIERZCHLAS
Błędna nazwa ulicy '-'/'-'/Szukana ulica: '-',Znormalizowana: '-',Ulica NIE istnieje w bazie TERYT|A1281648|32-720|NOWY WIŚNICZ 521|-|||||
Błędna nazwa ulicy '-'/'-'/Szukana ulica: '-',Znormalizowana: '-',Ulica NIE istnieje w bazie TERYT|A1210884|28-362|NAGŁOWICE 178|-|||||
Błędna nazwa ulicy '-'/'-'/Szukana ulica: '-',Znormalizowana: '-',Ulica NIE istnieje w bazie TERYT|A1219835|32-089|PRĄDNIK KORZKIEWSKI 34|-|||||
Błędna nazwa ulicy '-'/'-'/Szukana ulica: '-',Znormalizowana: '-',Ulica NIE istnieje w bazie TERYT|A1231654||TRZEMIEŚNIA 53|-|||||
Błędna nazwa ulicy '-'/'-'/Szukana ulica: '-',Znormalizowana: '-',Ulica NIE istnieje w bazie TERYT|A2830|30-698|GOLKOWICE|-|299||MAŁOPOLSKIE|WIELICKI|WIELICZKA
Błędna nazwa ulicy '-'/'-'/Szukana ulica: '-',Znormalizowana: '-',Ulica NIE istnieje w bazie TERYT|A1273679|32-047|OJCÓW 8|-|||||
Błędna nazwa ulicy '-'/'-'/Szukana ulica: '-',Znormalizowana: '-',Ulica NIE istnieje w bazie TERYT|A1299447|32-556|GROJEC 130|-|||||
Błędna nazwa ulicy '-'/'-'/Szukana ulica: '-',Znormalizowana: '-',Ulica NIE istnieje w bazie TERYT|A1299449|32-556|REGULICE 403|-|||||
Błędna nazwa ulicy '-'/'-'/Szukana ulica: '-',Znormalizowana: '-',Ulica NIE istnieje w bazie TERYT|A1299476|32-556|REGULICE 144|-|||||
Błędna nazwa ulicy '-'/'-'/Szukana ulica: '-',Znormalizowana: '-',Ulica NIE istnieje w bazie TERYT|A1306218|43-113|PASZKÓWKA 90|-|||||
Błędna nazwa ulicy '-'/'-'/Szukana ulica: '-',Znormalizowana: '-',Ulica NIE istnieje w bazie TERYT|A1305413|43-400|CIESZYN PUŃCÓW 320|-|||||
