STATUS;MIEJSCOWOŒÆ;ULICA;NUMERY;GMINA;POWIAT;WOJEWÓDZTWO;POPRZEDNIO;TERAZ
+;Adamów;;;Kowala;radomski;mazowieckie;;26-624
+;Bagno;;;Bratian;nowomiejski;warmiñsko-mazurskie;;13-332
-;Bagno;;;Nowe Miasto Lubawskie;nowomiejski;warmiñsko-mazurskie;13-332;
-;Bia³y Bór (Dalkowo);;;Bia³y Bór;szczecinecki;zachodniopomorskie;78-425;
-;Bia³y Bór (Linowo);;;Bia³y Bór;szczecinecki;zachodniopomorskie;78-425;
+;Bia³ystok;Ateñska;;Bia³ystok;Bia³ystok;podlaskie;;15-633
+;Bia³ystok;Bacieczki;1-7(n), 2-30a(p);Bia³ystok;Bia³ystok;podlaskie;;15-681
-;Bia³ystok;Bacieczki;1-7(n), 2-42(p);Bia³ystok;Bia³ystok;podlaskie;15-681;
+;Bia³ystok;Bacieczki;9-141(n), 32-142(p), 174-DK;Bia³ystok;Bia³ystok;podlaskie;;15-685
-;Bia³ystok;Bacieczki;9-141(n), 44-142(p), 174-DK;Bia³ystok;Bia³ystok;podlaskie;15-685;
+;Bia³ystok;Dziesiêciny;1-43(n), 2-DK(p);Bia³ystok;Bia³ystok;podlaskie;;15-806
+;Bia³ystok;Dziesiêciny;45-DK(n);Bia³ystok;Bia³ystok;podlaskie;;15-805
-;Bia³ystok;Dziesiêciny;;Bia³ystok;Bia³ystok;podlaskie;15-806;
+;Bia³ystok;DŸwiñska;;Bia³ystok;Bia³ystok;podlaskie;;15-161
-;Bia³ystok;gen. W³adys³awa Andersa;2-14(p), 5-15(n);Bia³ystok;Bia³ystok;podlaskie;15-124;
+;Bia³ystok;gen. W³adys³awa Andersa;2-36(p), 5-15(n);Bia³ystok;Bia³ystok;podlaskie;;15-124
+;Bia³ystok;"kpt. Kazimierza Kamieñskiego ""Huzar""";;Bia³ystok;Bia³ystok;podlaskie;;15-684
-;Bia³ystok;ks. Jerzego Popie³uszki;116-DK(p);Bia³ystok;Bia³ystok;podlaskie;15-617;
-;Bia³ystok;ks. Jerzego Popie³uszki;60-82b(p), 71-75(n), 113-DK(n);Bia³ystok;Bia³ystok;podlaskie;15-657;
+;Bia³ystok;ks. Jerzego Popie³uszki;60-DK(p), 71-DK(n);Bia³ystok;Bia³ystok;podlaskie;;15-657
-;Bia³ystok;ks. Jerzego Popie³uszki;99-111a(n);Bia³ystok;Bia³ystok;podlaskie;15-567;
-;Bia³ystok;ks. Zdzis³awa Peszkowskiego;;Bia³ystok;Bia³ystok;podlaskie;15-772;
#;Bia³ystok;Limonkowa;;Bia³ystok;Bia³ystok;podlaskie;15-794;15-795
+;Bia³ystok;Miko³aja Kopernika;1-2;Bia³ystok;Bia³ystok;podlaskie;;15-367
-;Bia³ystok;Miko³aja Kopernika;1-33(n), 2a-22(p);Bia³ystok;Bia³ystok;podlaskie;15-377;
-;Bia³ystok;Miko³aja Kopernika;2;Bia³ystok;Bia³ystok;podlaskie;15-367;
+;Bia³ystok;Miko³aja Kopernika;24-60(p);Bia³ystok;Bia³ystok;podlaskie;;15-397
-;Bia³ystok;Miko³aja Kopernika;26-DK(p);Bia³ystok;Bia³ystok;podlaskie;15-397;
+;Bia³ystok;Miko³aja Kopernika;2a-22(p), 5a-33(n);Bia³ystok;Bia³ystok;podlaskie;;15-377
+;Bia³ystok;Narwiañska;;Bia³ystok;Bia³ystok;podlaskie;;15-161
#;Bia³ystok;Ordynacka;;Bia³ystok;Bia³ystok;podlaskie;15-587;15-585
#;Bia³ystok;Pistacjowa;;Bia³ystok;Bia³ystok;podlaskie;15-794;15-795
+;Bia³ystok;Piwonii;;Bia³ystok;Bia³ystok;podlaskie;;15-571
+;Bia³ystok;pl. Ducha Œwiêtego;;Bia³ystok;Bia³ystok;podlaskie;;15-204
+;Bia³ystok;Sokola;11-DK;Bia³ystok;Bia³ystok;podlaskie;;15-537
-;Bia³ystok;Sokola;11-DK(n);Bia³ystok;Bia³ystok;podlaskie;15-537;
+;Bia³ystok;Sterowa;;Bia³ystok;Bia³ystok;podlaskie;;15-585
