PNA;NAZWA INSTYTUCJI;MIEJSCOWOŚĆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
00-923;Bank Handlowy w Warszawie S.A.;Warszawa (Śródmieście);Senatorska;16;Warszawa;Warszawa;mazowieckie
85-959;Bank Pocztowy S.A. Centrala;Bydgoszcz;Jagiellońska;17;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
40-159;"Biuro Studiów, Projektów i Realizacji ""ENERGOPROJEKT-KATOWICE"" S.A.";Katowice;Jesionowa;15;Katowice;Katowice;śląskie
30-100;BROKER FM S.A.;Kraków (Kraków-Krowodrza);Aleja Jerzego Waszyngtona;1;Kraków;Kraków;małopolskie
00-980;Centrala Zakładu Ubezpieczeń Społecznych w Warszawie;Warszawa (Mokotów);Czerniakowska;16;Warszawa;Warszawa;mazowieckie
40-273;ENERGOAPARATURA S.A.;Katowice;gen. Kazimierza Pułaskiego;7;Katowice;Katowice;śląskie
00-992;Fabryka Samochodów Osobowych S.A.;Warszawa (Praga-Północ);Jagiellońska;88;Warszawa;Warszawa;mazowieckie
61-501;Izba Administracji Skarbowej;Poznań (Poznań-Wilda);Dolna Wilda;80a;Poznań;Poznań;wielkopolskie
85-950;Kujawsko-Pomorski Urząd Wojewódzki w Bydgoszczy;Bydgoszcz;Jagiellońska;3;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
20-914;Lubelski Urząd Wojewódzki;Lublin;Spokojna;4;Lublin;Lublin;lubelskie
85-910;Magazyn Handlowy Bydgoszcz;Bydgoszcz;Ołowiana;24;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
00-939;Media Express Sp. z o.o.;Warszawa (Praga-Południe);Jubilerska;10;Warszawa;Warszawa;mazowieckie
00-983;Miasto Stołeczne Warszawa Dzielnica Targówek;Warszawa (Targówek);Ludwika Kondratowicza;20;Warszawa;Warszawa;mazowieckie
00-928;Ministerstwo Infrastruktury;Warszawa (Śródmieście);Tytusa Chałubińskiego;4/6;Warszawa;Warszawa;mazowieckie
00-919;Narodowy Bank Polski Centrala;Warszawa (Śródmieście);Świętokrzyska;11/21;Warszawa;Warszawa;mazowieckie
20-950;Perła-Browary Lubelskie S.A.;Lublin;Bernardyńska;15;Lublin;Lublin;lubelskie
61-501;Pierwszy Urząd Skarbowy;Poznań (Poznań-Wilda);Dolna Wilda;80;Poznań;Poznań;wielkopolskie
22-411;PKO Bank Polski Kancelaria;Zamość;Partyzantów;15;Zamość;Zamość;lubelskie
00-944;PKO BP SA Oddział  I w Warszawie;Warszawa (Śródmieście);Henryka Sienkiewicza;12;Warszawa;Warszawa;mazowieckie
50-901;PKO BP SA Oddział  I we Wrocławiu;Wrocław (Wrocław-Stare Miasto);Wita Stwosza;33/35;Wrocław;Wrocław;dolnośląskie
