PNA;NAZWA JEDNOSTKI ORGANIZACYJNEJ;MIEJSCOWOŚĆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
00-940;Poczta Polska Spółka Akcyjna Centrala;Warszawa;Rodziny Hiszpańskich;8;Warszawa;Warszawa;mazowieckie
00-940;Departament Informatyki Centrala;Warszawa;Rodziny Hiszpańskich;8;Warszawa;Warszawa;mazowieckie
00-940;Departament Infrastruktury Centrala;Warszawa;Rodziny Hiszpańskich;8;Warszawa;Warszawa;mazowieckie
40-940;Centrum Obsługi Finansowej Centrala;Katowice;Plac Oddziałów Młodzieży Powstańczej;7;Katowice;Katowice;śląskie
00-940;Centrum Rachunkowości Centrala;Warszawa;Rodziny Hiszpańskich;8;Warszawa;Warszawa;mazowieckie
00-940;Departament Ochrony i Logistyki Gotówki Centrala;Warszawa;Rodziny Hiszpańskich;8;Warszawa;Warszawa;mazowieckie
00-940;Departament Zasobów Ludzkich Centrala;Warszawa;Rodziny Hiszpańskich;8;Warszawa;Warszawa;mazowieckie
15-959;Region Infrastruktury w Białymstoku;Białystok;Kolejowa;26;Białystok;Białystok;podlaskie
80-940;Region Infrastruktury w Gdańsku;Gdańsk;Targ Rakowy;7/8;Gdańsk;Gdańsk;pomorskie
40-940;Region Infrastruktury w Katowicach;Katowice;Plac Oddziałów Młodzieży Powstańczej;7;Katowice;Katowice;śląskie
30-093;Region Infrastruktury w Krakowie;Kraków;Bronowicka;44;Kraków;Kraków;małopolskie
20-900;Region Infrastruktury w Lublinie;Lublin;Wacława Moritza;2;Lublin;Lublin;lubelskie
90-940;Region Infrastruktury w Łodzi;Łódź;Aleja T. Kościuszki;5/7;Łódź;Łódź;łódzkie
60-943;Region Infrastruktury w Poznaniu;Poznań;Głogowska;17;Poznań;Poznań;wielkopolskie
70-940;Region Infrastruktury w Szczecinie;Szczecin;Aleja Niepodległości;41/42;Szczecin;Szczecin;zachodniopomorskie
00-941;Region Infrastruktury w Warszawie;Warszawa;Świętokrzyska;31/33;Warszawa;Warszawa;mazowieckie
50-940;Region Infrastruktury we Wrocławiu;Wrocław;Powstańców Śląskich;134;Wrocław;Wrocław;dolnośląskie
80-206;Region Operacyjny w Gdańsku;Gdańsk;Aleja Grunwaldzka;108;Gdańsk;Gdańsk;pomorskie
80-206;Region Handlowy w Gdańsku;Gdańsk;Aleja Grunwaldzka;108;Gdańsk;Gdańsk;pomorskie
30-945;Region Operacyjny w Krakowie;Kraków;Prokocimska;6;Kraków;Kraków;małopolskie
