STATUS;NAZWA PLACÓWKI;MIEJSCOWOŒÆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO;POPRZEDNIO;TERAZ
+;AP Batorowo;Batorowo;Stefana Batorego;67;Tarnowo Podgórne;poznañski;wielkopolskie;;62-081
-;AP Be³chatów;Be³chatów;Rynek Grocholski;27;Be³chatów;be³chatowski;³ódzkie;97-405;
-;AP Bielowy;Bielowy;;bn;Pilzno;dêbicki;podkarpackie;39-226;
+;AP Bielowy;Bielowy;;k.35B;Pilzno;dêbicki;podkarpackie;;39-226
+;AP Bolszewo;Bolszewo;Lipowa;2;Wejherowo;wejherowski;pomorskie;;84-239
-;AP Bolszewo;Bolszewo;Zamostna;39;Wejherowo;wejherowski;pomorskie;84-239;
-;AP Braciejowice;Braciejowice;;46B;£aziska;opolski;lubelskie;24-336;
+;AP Bydgoszcz;Bydgoszcz;Zygmunta Augusta;7/9;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie;;85-455
-;AP Bytom;Bytom;Ksiêdza Jana Frenzla;56/7;Bytom;Bytom;œl¹skie;41-937;
+;AP Czaple;Czaple;;15;Œwiecie;œwiecki;kujawsko-pomorskie;;86-106
-;AP D¹browa Bia³ostocka;D¹browa Bia³ostocka;gen. Nikodema Sulika;1C;D¹browa Bia³ostocka;sokólski;podlaskie;16-201;
+;AP D¹browa Górnicza;D¹browa Górnicza;Aleja Józefa Pi³sudskiego;36D/604A;D¹browa Górnicza;D¹browa Górnicza;œl¹skie;;41-303
-;AP D¹browica;D¹browica;;53;Baranów Sandomierski;tarnobrzeski;podkarpackie;39-450;
+;AP Dêbica;Dêbica;Rzeszowska;29;Dêbica;dêbicki;podkarpackie;;39-214
-;AP Dêbica;Dêbica;Rzeszowska;64;Dêbica;dêbicki;podkarpackie;39-214;
-;AP D³u¿yna Dolna;D³u¿yna Dolna;;27;Pieñsk;zgorzelecki;dolnoœl¹skie;59-930;
-;AP Dyl¹gówka;Dyl¹gówka;;bn;Hy¿ne;rzeszowski;podkarpackie;36-025;
+;AP Dyl¹gówka;Dyl¹gówka;;k.120;Hy¿ne;rzeszowski;podkarpackie;;36-025
-;AP Dziemianówka;Dziemianówka;;6;Giby;sejneñski;podlaskie;16-506;
-;AP Ga³dowo;Ga³dowo;;29;I³awa;i³awski;warmiñsko-mazurskie;14-242;
-;AP Gdañsk;Gdañsk;Cienista;30;Gdañsk;Gdañsk;pomorskie;80-809;
+;AP Gdañsk;Gdañsk;W³adys³awa Cieszyñskiego;38/34 D;Gdañsk;Gdañsk;pomorskie;;80-809
-;AP Gorawino;Gorawino;;1;Rymañ;ko³obrzeski;zachodniopomorskie;78-125;
-;AP Jadachy;Jadachy;; ;Nowa Dêba;tarnobrzeski;podkarpackie;39-400;
+;AP Jadachy;Jadachy;;k.167;Nowa Dêba;tarnobrzeski;podkarpackie;;39-400
-;AP Jarno³towo;Jarno³towo;;18;Ma³dyty;ostródzki;warmiñsko-mazurskie;14-332;
-;AP Jaszczew;Jaszczew;;315;Jedlicze;kroœnieñski;podkarpackie;38-460;
+;AP Jaszczew;Jaszczew;;320;Jedlicze;kroœnieñski;podkarpackie;;38-460
+;AP Jaworzno;Jaworzno;Ciê¿kowicka;62;Jaworzno;Jaworzno;œl¹skie;;43-606
-;AP Katowice;Katowice;£opianowa;11;Katowice;Katowice;œl¹skie;40-751;
-;AP Kazimierza Wielka;Kazimierza Wielka;Partyzantów;28e;Kazimierza Wielka;kazimierski;œwiêtokrzyskie;28-501;
-;AP Kopytowa;Kopytowa;;bn.;Chorkówka;kroœnieñski;podkarpackie;38-459;
+;AP Koszalin;Koszalin;W³adys³awa IV;23;Koszalin;Koszalin;zachodniopomorskie;;75-345
+;AP Koœcierzyna;Koœcierzyna;Tadeusza Koœciuszki;56-58;Koœcierzyna;koœcierski;pomorskie;;83-405
+;AP Kraków;Kraków (Kraków-Nowa Huta);os. Osiedle Wysokie;1;Kraków;Kraków;ma³opolskie;;31-878
-;AP Kraków;Kraków (Kraków-Nowa Huta);os. Osiedle Wysokie;obok/1;Kraków;Kraków;ma³opolskie;31-878;
