PNA;NAZWA PLACÓWKI;MIEJSCOWOŚĆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
26-337;UP Aleksandrów k. Opoczna;Aleksandrów;;39 C;Aleksandrów;piotrkowski;łódzkie
26-341;FUP Aleksandrów k. Opoczna;Mniszków;Powstańców Wielkopolskich;1;Mniszków;opoczyński;łódzkie
87-700;UP Aleksandrów Kujawski 1;Aleksandrów Kujawski;Dworcowa;1;Aleksandrów Kujawski;aleksandrowski;kujawsko-pomorskie
87-712;FUP Aleksandrów Kujawski 1;Aleksandrów Kujawski;Szkolna;13;Aleksandrów Kujawski;aleksandrowski;kujawsko-pomorskie
87-704;FUP Aleksandrów Kujawski 1;Bądkowo;Kujawska;41;Bądkowo;aleksandrowski;kujawsko-pomorskie
87-720;FUP Aleksandrów Kujawski 1;Ciechocinek;Plac Gdański;1;Ciechocinek;aleksandrowski;kujawsko-pomorskie
87-722;FUP Aleksandrów Kujawski 1;Ciechocinek;Polna;8;Ciechocinek;aleksandrowski;kujawsko-pomorskie
87-703;FUP Aleksandrów Kujawski 1;Koneck;św. Prokopa;48;Koneck;aleksandrowski;kujawsko-pomorskie
87-732;FUP Aleksandrów Kujawski 1;Lubanie;;17a;Lubanie;włocławski;kujawsko-pomorskie
87-730;FUP Aleksandrów Kujawski 1;Nieszawa;Stanisława Noakowskiego;5;Nieszawa;aleksandrowski;kujawsko-pomorskie
87-721;FUP Aleksandrów Kujawski 1;Raciążek;Szkolna;27;Raciążek;aleksandrowski;kujawsko-pomorskie
87-731;FUP Aleksandrów Kujawski 1;Waganiec;Kolejowa;6;Waganiec;aleksandrowski;kujawsko-pomorskie
87-707;FUP Aleksandrów Kujawski 1;Zakrzewo;Leśna;2;Zakrzewo;aleksandrowski;kujawsko-pomorskie
95-070;UP Aleksandrów Łódzki 1;Aleksandrów Łódzki;Wojska Polskiego;69;Aleksandrów Łódzki;zgierski;łódzkie
95-069;FUP Aleksandrów Łódzki 1;Aleksandrów Łódzki;Warszawska;3;Aleksandrów Łódzki;zgierski;łódzkie
95-071;FUP Aleksandrów Łódzki 1;Rąbień;Pańska;14;Aleksandrów Łódzki;zgierski;łódzkie
32-566;UP Alwernia;Alwernia;Zbigniewa Gęsikowskiego;7;Alwernia;chrzanowski;małopolskie
32-551;FUP Alwernia;Babice;Krakowska;47;Babice;chrzanowski;małopolskie
06-212;AP Amelin;Amelin;;8;Krasnosielc;makowski;mazowieckie
34-120;UP Andrychów;Andrychów;Krakowska;100;Andrychów;wadowicki;małopolskie
34-120;FUP Andrychów;Andrychów;Stanisława Lenartowicza;36 b;Andrychów;wadowicki;małopolskie
34-122;FUP Andrychów;Wieprz;Centralna;1;Wieprz;wadowicki;małopolskie
34-121;AP Andrychów;Andrychów;Krakowska;83 E;Andrychów;wadowicki;małopolskie
07-305;UP Andrzejewo k. Czyżewa;Andrzejewo;Wysocka;1 A;Andrzejewo;ostrowski;mazowieckie
07-325;FUP Andrzejewo k. Czyżewa;Boguty-Pianki;Aleja Papieża Jana Pawła II;45;Boguty-Pianki;ostrowski;mazowieckie
07-324;FUP Andrzejewo k. Czyżewa;Szulborze Wielkie;Bohaterów AK;12;Szulborze Wielkie;ostrowski;mazowieckie
07-323;FUP Andrzejewo k. Czyżewa;Zaręby Kościelne;Kowalska;14;Zaręby Kościelne;ostrowski;mazowieckie
21-103;AP Annobór;Annobór;;2B/1;Lubartów;lubartowski;lubelskie
37-455;AP Antoniów;Antoniów;;114;Radomyśl nad Sanem;stalowowolski;podkarpackie
16-305;AP Augustów;Augustów;Młyńska;5A;Augustów;augustowski;podlaskie
16-300;UP Augustów 1;Augustów;rynek Zygmunta Augusta;3;Augustów;augustowski;podlaskie
16-303;FUP Augustów 1;Augustów;Hoża;2B;Augustów;augustowski;podlaskie
16-300;FUP Augustów 1;Augustów;Komunalna;2;Augustów;augustowski;podlaskie
16-301;FUP Augustów 1;skrytki/przegródki;;;Augustów;augustowski;podlaskie
16-302;FUP Augustów 1;Augustów;Partyzantów;42;Augustów;augustowski;podlaskie
16-320;FUP Augustów 1;Bargłów Kościelny;Tysiąclecia;2;Bargłów Kościelny;augustowski;podlaskie
16-304;FUP Augustów 1;Nowinka;;27A;Nowinka;augustowski;podlaskie
16-326;FUP Augustów 1;Płaska;;53;Płaska;augustowski;podlaskie
14-245;AP Babięty Wielkie;Babięty Wielkie;;52a;Susz;iławski;warmińsko-mazurskie
18-107;AP Baciuty;Baciuty;Wygoda;8;Turośń Kościelna;białostocki;podlaskie
14-243;AP Bałoszyce;Bałoszyce;;16;Susz;iławski;warmińsko-mazurskie
12-160;AP Baranowo;Baranowo;;18;Wielbark;szczycieński;warmińsko-mazurskie
06-320;UP Baranowo k. Ostrołęki;Baranowo;pl. Rynek;7;Baranowo;ostrołęcki;mazowieckie
63-604;UP Baranów;Baranów;Kościelna;2;Baranów;kępiński;wielkopolskie
11-043;AP Barcikowo;Barcikowo;;5;Dobre Miasto;olsztyński;warmińsko-mazurskie
88-193;AP Barcin;Barcin;Świętego Wojciecha;5/1;Barcin;żniński;kujawsko-pomorskie
11-010;UP Barczewo;Barczewo;pl. Pocztowy;1;Barczewo;olsztyński;warmińsko-mazurskie
11-320;FUP Barczewo;Jeziorany;Kajki;26;Jeziorany;olsztyński;warmińsko-mazurskie
74-320;UP Barlinek;Barlinek;al. 1 Maja;6;Barlinek;myśliborski;zachodniopomorskie
73-260;FUP Barlinek;Pełczyce;Rynek Bursztynowy;4;Pełczyce;choszczeński;zachodniopomorskie
74-320;AP Barlinek;Barlinek;Żabia;2A;Barlinek;myśliborski;zachodniopomorskie
83-220;AP Barłożno;Barłożno;;33;Skórcz;starogardzki;pomorskie
16-070;AP Barszczewo;Barszczewo;;2;Choroszcz;białostocki;podlaskie
11-200;UP Bartoszyce 1;Bartoszyce;11 Listopada;3;Bartoszyce;bartoszycki;warmińsko-mazurskie
11-201;FUP Bartoszyce 1;Bartoszyce;Generała Bema;53;Bartoszyce;bartoszycki;warmińsko-mazurskie
11-205;FUP Bartoszyce 1;Bartoszyce;Generała Bema;16 B;Bartoszyce;bartoszycki;warmińsko-mazurskie
11-204;FUP Bartoszyce 1;Bartoszyce;Ogrodowa;1 A;Bartoszyce;bartoszycki;warmińsko-mazurskie
11-207;FUP Bartoszyce 1;Bartoszyce;Warszawska;23;Bartoszyce;bartoszycki;warmińsko-mazurskie
11-206;FUP Bartoszyce 1;Bartoszyce;Kardynała Wyszyńskiego;11;Bartoszyce;bartoszycki;warmińsko-mazurskie
11-230;FUP Bartoszyce 1;Bisztynek;pl. Wolności;2;Bisztynek;bartoszycki;warmińsko-mazurskie
11-220;FUP Bartoszyce 1;Górowo Iławeckie;Szkolna;2;Górowo Iławeckie;bartoszycki;warmińsko-mazurskie
11-210;FUP Bartoszyce 1;Sępopol;11 Listopada;6;Sępopol;bartoszycki;warmińsko-mazurskie
36-245;AP Barycz;Barycz;;264;Domaradz;brzozowski;podkarpackie
62-081;AP Batorowo;Batorowo;Stefana Batorego;67;Tarnowo Podgórne;poznański;wielkopolskie
64-212;AP Belęcin;Belęcin;;30;Siedlec;wolsztyński;wielkopolskie
97-400;AP Bełchatów;Bełchatów;Olsztyńska;1 B;Bełchatów;bełchatowski;łódzkie
97-400;AP Bełchatów;Bełchatów;Wojska Polskiego;5K;Bełchatów;bełchatowski;łódzkie
97-400;UP Bełchatów 1;Bełchatów;Kościuszki;21;Bełchatów;bełchatowski;łódzkie
97-408;FUP Bełchatów 1;Bełchatów;św. Barbary;2;Bełchatów;bełchatowski;łódzkie
97-407;FUP Bełchatów 1;Bełchatów;Energetyków;12;Bełchatów;bełchatowski;łódzkie
97-406;FUP Bełchatów 1;Bełchatów;Malinowa;2A;Bełchatów;bełchatowski;łódzkie
97-410;FUP Bełchatów 1;Kleszczów;Główna;112;Kleszczów;bełchatowski;łódzkie
97-415;FUP Bełchatów 1;Kluki;;88;Kluki;bełchatowski;łódzkie
97-411;FUP Bełchatów 1;Kurnos Drugi;;130a;Bełchatów;bełchatowski;łódzkie
97-427;FUP Bełchatów 1;Rogowiec;Montażowa;2;Kleszczów;bełchatowski;łódzkie
24-200;UP Bełżyce;Bełżyce;Lubelska;3;Bełżyce;lubelski;lubelskie
21-031;FUP Bełżyce;Kozubszczyzna;;127;Konopnica;lubelski;lubelskie
24-205;FUP Bełżyce;Wojciechów;;4;Wojciechów;lubelski;lubelskie
24-201;AP Bełżyce;Bełżyce;Bychawska;22;Bełżyce;lubelski;lubelskie
63-700;AP Benice;Benice;Krotoszyńska;14;Krotoszyn;krotoszyński;wielkopolskie
16-500;AP Berżniki;Berżniki;;54;Sejny;sejneński;podlaskie
43-512;UP Bestwina;Bestwina;Podzamcze;16;Bestwina;bielski;śląskie
42-500;UP Będzin 1;Będzin;Ignacego Krasickiego;1;Będzin;będziński;śląskie
42-500;FUP Będzin 1;Będzin;Bolesława Chrobrego;3;Będzin;będziński;śląskie
42-500;FUP Będzin 1;Będzin;rtm. Witolda Pileckiego;15;Będzin;będziński;śląskie
42-500;FUP Będzin 1;Będzin;Pokoju;24;Będzin;będziński;śląskie
42-506;FUP Będzin 1;Będzin;mjr. Bolesława Zagórnego;18;Będzin;będziński;śląskie
42-505;FUP Będzin 1;Będzin;Zwycięstwa;9;Będzin;będziński;śląskie
42-500;FUP Będzin 1;Będzin;Żwirki i Wigury;24 A;Będzin;będziński;śląskie
42-500;FUP Będzin 1;Czeladź;Będzińska;80;Czeladź;będziński;śląskie
42-500;FUP Będzin 1;Psary;Malinowicka;4;Psary;będziński;śląskie
42-575;FUP Będzin 1;Strzyżowice;Belna;1;Psary;będziński;śląskie
32-828;AP Biadoliny Radłowskie;Biadoliny Radłowskie;;389;Wojnicz;tarnowski;małopolskie
48-210;UP Biała;Biała;1 Maja;30;Biała;prudnicki;opolskie
64-980;AP Biała;Biała;Staszica;1/A;Trzcianka;czarnkowsko-trzcianecki;wielkopolskie
21-301;AP Biała;Biała;;47C;Radzyń Podlaski;radzyński;lubelskie
21-501;AP Biała Podlaska;Biała Podlaska;Terebelska;57 A;Biała Podlaska;Biała Podlaska;lubelskie
21-500;UP Biała Podlaska 1;Biała Podlaska;Plac Wolności;9;Biała Podlaska;Biała Podlaska;lubelskie
21-502;FUP Biała Podlaska 1;Biała Podlaska;Aleja Tysiąclecia;35;Biała Podlaska;Biała Podlaska;lubelskie
21-508;FUP Biała Podlaska 1;Biała Podlaska;Łomaska;43D;Biała Podlaska;Biała Podlaska;lubelskie
21-527;FUP Biała Podlaska 1;Biała Podlaska;Orzechowa;34;Biała Podlaska;Biała Podlaska;lubelskie
21-506;FUP Biała Podlaska 1;Biała Podlaska;Warszawska;17;Biała Podlaska;Biała Podlaska;lubelskie
21-507;FUP Biała Podlaska 1;Biała Podlaska;Czesława Wroczyńskiego;11;Biała Podlaska;Biała Podlaska;lubelskie
21-501;FUP Biała Podlaska 1;Biała Podlaska;Zygmunta Starego;10;Biała Podlaska;Biała Podlaska;lubelskie
21-505;FUP Biała Podlaska 1;Janów Podlaski;Marszałka Józefa Piłsudskiego;13;Janów Podlaski;bialski;lubelskie
21-510;FUP Biała Podlaska 1;Kodeń;1 Maja;20;Kodeń;bialski;lubelskie
21-543;FUP Biała Podlaska 1;Konstantynów;Kardynała Stefana Wyszyńskiego;1;Konstantynów;bialski;lubelskie
21-542;FUP Biała Podlaska 1;Leśna Podlaska;Bialska;13;Leśna Podlaska;bialski;lubelskie
21-540;FUP Biała Podlaska 1;Małaszewicze;Kolejarzy;6;Terespol;bialski;lubelskie
21-531;FUP Biała Podlaska 1;Piszczac;Cmentarna;3;Piszczac;bialski;lubelskie
21-504;FUP Biała Podlaska 1;Rokitno;;55;Rokitno;bialski;lubelskie
21-550;FUP Biała Podlaska 1;Terespol;Wojska Polskiego;100;Terespol;bialski;lubelskie
21-512;FUP Biała Podlaska 1;Zalesie;Warszawska;34;Zalesie;bialski;lubelskie
19-200;AP Białaszewo;Białaszewo;Mikołaja Kopernika;31;Grajewo;grajewski;podlaskie
86-005;UP Białe Błota;Białe Błota;Guliwera;11;Białe Błota;bydgoski;kujawsko-pomorskie
85-901;FUP Białe Błota;Lisi Ogon;Pocztowa;12;Białe Błota;bydgoski;kujawsko-pomorskie
86-065;FUP Białe Błota;Łochowo;Szosa Nakielska;8;Białe Błota;bydgoski;kujawsko-pomorskie
86-016;FUP Białe Błota;Sicienko;Pocztowy Rynek;4;Sicienko;bydgoski;kujawsko-pomorskie
34-405;AP Białka Tatrzańska;Białka Tatrzańska;Środkowa;179;Bukowina Tatrzańska;tatrzański;małopolskie
26-802;AP Białobrzegi;Białobrzegi;Marii Konopnickiej;3/6;Białobrzegi;białobrzeski;mazowieckie
16-300;AP Białobrzegi;Białobrzegi;;67A;Augustów;augustowski;podlaskie
26-800;UP Białobrzegi Radomskie;Białobrzegi;11 Listopada;28;Białobrzegi;białobrzeski;mazowieckie
26-803;FUP Białobrzegi Radomskie;Promna-Kolonia;;5/6;Promna;białobrzeski;mazowieckie
26-808;FUP Białobrzegi Radomskie;Radzanów;;92a;Radzanów;białobrzeski;mazowieckie
26-806;FUP Białobrzegi Radomskie;Stara Błotnica;;46a;Stara Błotnica;białobrzeski;mazowieckie
26-804;FUP Białobrzegi Radomskie;Stromiec;Piaski;4;Stromiec;białobrzeski;mazowieckie
26-811;FUP Białobrzegi Radomskie;Wyśmierzyce;Adama Mickiewicza;75;Wyśmierzyce;białobrzeski;mazowieckie
78-200;UP Białogard 1;Białogard;Wojska Polskiego;87/88;Białogard;białogardzki;zachodniopomorskie
78-210;FUP Białogard 1;Białogard;Chopina;30;Białogard;białogardzki;zachodniopomorskie
78-200;FUP Białogard 1;Białogard;Kochanowskiego;26;Białogard;białogardzki;zachodniopomorskie
78-200;FUP Białogard 1;Białogard;Olimpijska;4;Białogard;białogardzki;zachodniopomorskie
78-201;FUP Białogard 1;Karlino;Koszalińska;57;Karlino;białogardzki;zachodniopomorskie
78-203;FUP Białogard 1;Rogowo;;4a;Białogard;białogardzki;zachodniopomorskie
78-452;AP Białowąs;Białowąs;;4;Barwice;szczecinecki;zachodniopomorskie
15-762;AP Białystok;Białystok;Antoniuk Fabryczny;55/4;Białystok;Białystok;podlaskie
15-044;AP Białystok;Białystok;Piasta;13/4;Białystok;Białystok;podlaskie
15-705;AP Białystok;Białystok;Kardynała Stefana Wyszyńskiego;2/1/5;Białystok;Białystok;podlaskie
15-001;UP Białystok 1;Białystok;Warszawska;10;Białystok;Białystok;podlaskie
15-950;UP Białystok 1;skrytki/przegródki;;;Białystok;Białystok;podlaskie
15-026;FUP Białystok 1;Białystok;Słonimska;1;Białystok;Białystok;podlaskie
15-644;FUP Białystok 1;Białystok;Wrocławska;20/32A;Białystok;Białystok;podlaskie
15-168;FUP Białystok 1;Białystok;Władysława Wysockiego;67/A10;Białystok;Białystok;podlaskie
16-001;FUP Białystok 1;Juchnowiec Kościelny;pl. Królowej Rodzin;1;Juchnowiec Kościelny;białostocki;podlaskie
16-061;FUP Białystok 1;skrytki/przegródki;;;Juchnowiec Kościelny;białostocki;podlaskie
16-001;FUP Białystok 1;Kleosin;Ojca Stefana Tarasiuka;11;Juchnowiec Kościelny;białostocki;podlaskie
16-010;FUP Białystok 1;Wasilków;Nadrzeczna;1;Wasilków;białostocki;podlaskie
16-010;FUP Białystok 1;Wasilków;Polna;2/3;Wasilków;białostocki;podlaskie
15-900;UP Białystok 2;Białystok;Kolejowa;15;Białystok;Białystok;podlaskie
15-959;UP Białystok 2;skrytki/przegródki;;;Białystok;Białystok;podlaskie
15-845;FUP Białystok 2;Białystok;Antoniukowska;56/030;Białystok;Białystok;podlaskie
15-792;FUP Białystok 2;Białystok;Władysława Broniewskiego;4;Białystok;Białystok;podlaskie
15-900;FUP Białystok 2;Dobrzyniewo Duże;Białostocka;12;Dobrzyniewo Duże;białostocki;podlaskie
15-214;UP Białystok 3;Białystok;Adama Mickiewicza;17;Białystok;Białystok;podlaskie
15-566;FUP Białystok 3;Białystok;Dojlidy Fabryczne;24;Białystok;Białystok;podlaskie
15-001;FUP Białystok 3;Białystok;Jana Kilińskiego;1;Białystok;Białystok;podlaskie
15-530;FUP Białystok 3;Białystok;Sowlańska;33;Białystok;Białystok;podlaskie
15-571;FUP Białystok 3;Białystok;Stoczni Gdańskiej;76;Białystok;Białystok;podlaskie
15-219;FUP Białystok 3;Białystok;Świętojańska;12;Białystok;Białystok;podlaskie
15-428;UP Białystok 4;Białystok;Lipowa;32;Białystok;Białystok;podlaskie
15-447;FUP Białystok 4;Białystok;Aleja Józefa Piłsudskiego;26;Białystok;Białystok;podlaskie
15-471;FUP Białystok 4;Białystok;Ciepła;15;Białystok;Białystok;podlaskie
15-436;FUP Białystok 4;Białystok;pl. Rynek Kościuszki;13;Białystok;Białystok;podlaskie
15-880;FUP Białystok 4;Białystok;Stołeczna;25;Białystok;Białystok;podlaskie
15-280;FUP Białystok 4;Białystok;Jerzego Waszyngtona;22 B;Białystok;Białystok;podlaskie
15-821;UP Białystok 11;Białystok;Zagórna;2 B;Białystok;Białystok;podlaskie
15-807;FUP Białystok 11;Białystok;Dziesięciny;45;Białystok;Białystok;podlaskie
15-770;FUP Białystok 11;Białystok;Hugo Kołłątaja;7;Białystok;Białystok;podlaskie
15-775;FUP Białystok 11;Białystok;Konstytucji 3 Maja Al.;22;Białystok;Białystok;podlaskie
15-699;FUP Białystok 11;Białystok;ks. Witolda Pietkuna;5;Białystok;Białystok;podlaskie
15-057;UP Białystok 24;Białystok;Bolesława Chrobrego;2;Białystok;Białystok;podlaskie
15-212;FUP Białystok 24;Białystok;ks. Stanisława Andrukiewicza;2/2U;Białystok;Białystok;podlaskie
15-050;FUP Białystok 24;Białystok;Mieszka I;14/9;Białystok;Białystok;podlaskie
15-182;FUP Białystok 24;Białystok;42 Pułku Piechoty;127/U1;Białystok;Białystok;podlaskie
15-509;FUP Białystok 24;Sobolewo;szosa Szosa Baranowicka;92;Grabówka;białostocki;podlaskie
16-062;FUP Białystok 24;Zabłudów;Surażska;2;Zabłudów;białostocki;podlaskie
15-148;UP Białystok 25;Białystok;Wasilkowska;1;Białystok;Białystok;podlaskie
15-859;FUP Białystok 25;Białystok;Białostoczek;21;Białystok;Białystok;podlaskie
15-100;FUP Białystok 25;Białystok;Bitwy Białostockiej;8A;Białystok;Białystok;podlaskie
15-017;FUP Białystok 25;Białystok;Łąkowa;3/6;Białystok;Białystok;podlaskie
15-154;FUP Białystok 25;Białystok;Trawiasta;16;Białystok;Białystok;podlaskie
16-030;FUP Białystok 25;Supraśl;Cieliczańska;2;Supraśl;białostocki;podlaskie
15-662;UP Białystok 26;Białystok;Wincentego Witosa;32/1;Białystok;Białystok;podlaskie
15-695;FUP Białystok 26;Białystok;Bacieczki;212;Białystok;Białystok;podlaskie
15-664;FUP Białystok 26;Białystok;Konwaliowa;2;Białystok;Białystok;podlaskie
